zscore,pscore,hindex
1.404352063,1.035271766,1.532425641
1.395941418,0.9970357379,1.532425641
1.387628377,0.8899748589,1.532425641
1.379410139,0.821150008,1.532425641
1.371284025,0.7982083911,1.492713315
1.363247466,0.7905611854,1.453000989
1.355298001,0.7905611854,1.413288663
1.347433273,0.7829139798,1.413288663
1.339651017,0.7676195685,1.413288663
1.33194906,0.7370307459,1.373576337
1.324325314,0.714089129,1.373576337
1.316777771,0.6835003064,1.373576337
1.309304503,0.6758531007,1.333864011
1.301903653,0.6682058951,1.294151685
1.294573432,0.6605586894,1.294151685
1.287312118,0.6529114838,1.254439359
1.280118053,0.6376170725,1.254439359
1.272989637,0.6223226612,1.254439359
1.265925327,0.6146754555,1.254439359
1.258923633,0.6070282499,1.214727033
1.251983118,0.5917338386,1.214727033
1.245102394,0.561145016,1.214727033
1.238280118,0.5458506047,1.214727033
1.231514994,0.538203399,1.214727033
1.224805769,0.5305561934,1.175014707
1.218151228,0.5229089877,1.175014707
1.211550197,0.5229089877,1.095590054
1.20500154,0.5229089877,1.095590054
1.198504156,0.5076145764,1.055877728
1.192056977,0.4999673708,1.055877728
1.185658971,0.4923201651,1.055877728
1.179309134,0.4923201651,1.016165402
1.173006495,0.4846729595,1.016165402
1.16675011,0.4693785482,0.9764530761
1.160539064,0.4540841369,0.9764530761
1.154372468,0.4540841369,0.9764530761
1.14824946,0.4387897256,0.9764530761
1.142169201,0.4158481087,0.93674075
1.136130878,0.4158481087,0.93674075
1.130133697,0.3929064917,0.93674075
1.124176889,0.3929064917,0.8970284239
1.118259707,0.3546704635,0.8970284239
1.112381422,0.3317288465,0.8970284239
1.106541324,0.3317288465,0.8970284239
1.100738725,0.3087872296,0.8970284239
1.094972954,0.2934928183,0.8970284239
1.089243356,0.2858456126,0.8970284239
1.083549295,0.278198407,0.8970284239
1.077890149,0.25525679,0.8970284239
1.072265316,0.2399623788,0.8970284239
1.066674204,0.2399623788,0.8573160978
1.06111624,0.2399623788,0.8573160978
1.055590863,0.2323151731,0.8573160978
1.050097526,0.2246679675,0.8573160978
1.044635696,0.2246679675,0.8573160978
1.039204853,0.2246679675,0.8176037717
1.033804489,0.2246679675,0.8176037717
1.028434107,0.2246679675,0.8176037717
1.023093224,0.2170207618,0.8176037717
1.017781366,0.2017263505,0.7778914456
1.012498072,0.1940791449,0.7778914456
1.00724289,0.1864319392,0.7381791195
1.002015378,0.1864319392,0.7381791195
0.9968151058,0.1864319392,0.7381791195
0.9916416516,0.1711375279,0.7381791195
0.9864946031,0.1558431166,0.7381791195
0.981373557,0.1405487053,0.6984667934
0.9762781191,0.1329014997,0.6984667934
0.9712079036,0.1329014997,0.6984667934
0.9661625328,0.1329014997,0.6984667934
0.9611416374,0.125254294,0.6984667934
0.9561448555,0.1099598827,0.6984667934
0.9511718332,0.1099598827,0.6984667934
0.9462222237,0.1099598827,0.6587544673
0.9412956875,0.1023126771,0.6587544673
0.936391892,0.1023126771,0.6587544673
