column 1,column 2
0.7587497549,0.3953887668
0.7549663074,0.3953887668
0.7511936361,0.3953887668
0.7474316264,0.3953887668
0.7436801652,0.3559214861
0.7399391412,0.3559214861
0.7362084442,0.3559214861
0.7324879659,0.3559214861
0.7287775991,0.3559214861
0.7250772382,0.3559214861
0.721386779,0.3559214861
0.7177061188,0.3559214861
0.7140351559,0.3164542054
0.7103737902,0.3164542054
0.7067219228,0.3164542054
0.7030794561,0.3164542054
0.6994462938,0.3164542054
0.6958223407,0.3164542054
0.6922075029,0.3164542054
0.6886016877,0.2769869247
0.6850048035,0.2769869247
0.6814167599,0.2769869247
0.6778374674,0.2769869247
0.674266838,0.237519644
0.6707047845,0.237519644
0.6671512208,0.237519644
0.6636060618,0.237519644
0.6600692236,0.237519644
0.6565406231,0.237519644
0.6530201784,0.237519644
0.6495078084,0.237519644
0.646003433,0.237519644
0.642506973,0.237519644
0.6390183502,0.237519644
0.6355374873,0.237519644
0.6320643079,0.1980523633
0.6285987364,0.1980523633
0.6251406981,0.1980523633
0.6216901191,0.1980523633
0.6182469265,0.1980523633
0.614811048,0.1980523633
0.6113824122,0.1980523633
0.6079609486,0.1980523633
0.6045465872,0.1980523633
0.601139259,0.1980523633
0.5977388958,0.1980523633
0.5943454299,0.1980523633
0.5909587945,0.1980523633
0.5875789235,0.1980523633
0.5842057514,0.1980523633
0.5808392135,0.1585850826
0.5774792458,0.1585850826
0.5741257849,0.1585850826
0.570778768,0.1585850826
0.5674381331,0.1585850826
0.5641038188,0.1585850826
0.5607757642,0.1585850826
0.5574539092,0.1585850826
0.5541381942,0.1585850826
0.5508285602,0.1585850826
0.5475249488,0.1585850826
0.5442273023,0.1585850826
0.5409355633,0.1585850826
0.5376496753,0.1585850826
0.5343695822,0.1585850826
0.5310952282,0.1585850826
0.5278265585,0.1191178018
0.5245635185,0.1191178018
0.5213060542,0.1191178018
0.5180541121,0.1191178018
0.5148076394,0.1191178018
0.5115665835,0.1191178018
0.5083308924,0.1191178018
0.5051005146,0.1191178018
0.5018753992,0.1191178018
0.4986554956,0.1191178018
0.4954407536,0.1191178018
0.4922311236,0.1191178018
0.4890265566,0.1191178018
0.4858270036,0.1191178018
0.4826324163,0.1191178018
0.479442747,0.1191178018
0.476257948,0.1191178018
0.4730779725,0.07965052115
0.4699027736,0.07965052115
0.4667323052,0.07965052115
0.4635665214,0.07965052115
0.4604053767,0.07965052115
0.4572488262,0.07965052115
0.454096825,0.07965052115
0.4509493289,0.07965052115
0.4478062939,0.04018324044
0.4446676764,0.04018324044
0.4415334332,0.04018324044
0.4384035215,0.04018324044
