Name,Entity Id,Rank type,Rank value,Time span
ISCAS,1192710900,Citations*,39,One Year
SUM,2736178789,Citations*,40,One Year
UAI,1204606053,Citations*,41,One Year
COLT,1177622950,Citations*,42,One Year
ICInPro,2898215259,Citations*,43,One Year
IV,2756192179,Citations*,44,One Year
ICIP,1163163559,Citations*,45,One Year
RecSys,1134284382,Citations*,46,One Year
SPAWC,2623057608,Citations*,47,One Year
HPCA,1126329156,Citations*,48,One Year
SIGGRAPH,1164321581,Citations*,49,One Year
ESWC,1180003657,Citations*,50,One Year
DSS,1182309694,Citations*,51,One Year
SIGCOMM,1152462849,Citations*,52,One Year
AVSS,1125350492,Citations*,53,One Year
EUSIPCO,2756071452,Citations*,54,One Year
GECCO,1140000399,Citations*,55,One Year
ASPLOS,1174091362,Citations*,56,One Year
ICSE,1174403976,Citations*,57,One Year
ICC,1130451194,Citations*,58,One Year
SECURITY,2537594308,Citations*,59,One Year
ICDAR,1150099070,Citations*,60,One Year
ATVA,1130464007,Citations*,61,One Year
3DV,2754869338,Citations*,62,One Year
SIGMOD,1175089206,Citations*,63,One Year
ICONIP,1183580825,Citations*,64,One Year
BMVC,1198654179,Citations*,65,One Year
ICANN,1158833223,Citations*,66,One Year
CCDC,2624597182,Citations*,67,One Year
MICRO,1150919317,Citations*,68,One Year
ICME,1126322613,Citations*,69,One Year
CI,1120693805,Citations*,70,One Year
AAMAS,1168671587,Citations*,71,One Year
SSCI,2756343272,Citations*,72,One Year
ICDM,1183478919,Citations*,73,One Year
ICDCS,1200222865,Citations*,74,One Year
ITA,1129078273,Citations*,75,One Year
NAACL,1173951661,Citations*,76,One Year
ISMIR,1144674403,Citations*,77,One Year
FCCM,1171922823,Citations*,78,One Year
ASP-DAC,1137823534,Citations*,79,One Year
Big Data,2623113034,Citations*,80,One Year
ITSC,2623670486,Citations*,81,One Year
ICCAD,1128132410,Citations*,82,One Year
ACC,1190039108,Citations*,83,One Year
FPL,1191474766,Citations*,84,One Year
ASILOMAR,2623229432,Citations*,85,One Year
EIConRus,2754885367,Citations*,86,One Year
CAiSE,1134069326,Citations*,87,One Year
APSIPA,2754583030,Citations*,88,One Year
ICPR,1131605622,Citations*,89,One Year
AmI,1197908299,Citations*,90,One Year
ICMLA,1138691947,Citations*,91,One Year
ICPP,1155899826,Citations*,92,One Year
FSE,1199533187,Citations*,93,One Year
ICMR,1159717609,Citations*,94,One Year
SiPS,1190659448,Citations*,95,One Year
VCIP,1175927799,Citations*,96,One Year
STOC,1190910084,Citations*,97,One Year
EMBC,2232857946,Citations*,98,One Year
DySPAN,2754675597,Citations*,99,One Year
OFC,2621451516,Citations*,100,One Year
ICASSP,1121227772,Publications,1,One Year
CVPR,1158167855,Publications,2,One Year
IJCNN,1140449422,Publications,3,One Year
ICLR,2584161585,Publications,4,One Year
ICML,1180662882,Publications,5,One Year
SOCO,1123077274,Publications,6,One Year
NeurIPS,1127325140,Publications,7,One Year
CCC,2623792093,Publications,8,One Year
AAAI,1184914352,Publications,9,One Year
ICONIP,1183580825,Publications,10,One Year
CCDC,2624597182,Publications,11,One Year
Big Data,2623113034,Publications,12,One Year
CAC,2755940150,Publications,13,One Year
ECCV,1124077590,Publications,14,One Year
SMC,1170695740,Publications,15,One Year
ICIP,1163163559,Publications,16,One Year
INTERSPEECH,1177287137,Publications,17,One Year
ICCV,1164975091,Publications,18,One Year
ICRA,1163902177,Publications,19,One Year
SIU,2735422400,Publications,20,One Year
SSCI,2756343272,Publications,21,One Year
ISCAS,1192710900,Publications,22,One Year
ICANN,1158833223,Publications,23,One Year
ICAI,2755283090,Publications,24,One Year
APSIPA,2754583030,Publications,25,One Year
ICPR,1131605622,Publications,26,One Year
IGARSS,1195013065,Publications,27,One Year
IROS,1143279144,Publications,28,One Year
IJCAI,1203999783,Publications,29,One Year
EMNLP,1192655580,Publications,30,One Year
ICMLA,1138691947,Publications,31,One Year
EMBC,2232857946,Publications,32,One Year
WWW,1135342153,Publications,33,One Year
WACV,1149655676,Publications,34,One Year
ACC,1190039108,Publications,35,One Year
CLOUD,1137657189,Publications,36,One Year
ACL,1188739475,Publications,37,One Year
ICC,1130451194,Publications,38,One Year
ICDM,1183478919,Publications,39,One Year
NAACL,1173951661,Publications,40,One Year
MICCAI,1129324708,Publications,41,One Year
ISNN,1161424158,Publications,42,One Year
ICSP,2622739841,Publications,43,One Year
