Name,Entity Id,Rank type,Rank value,Time span
TREC,2534788800,Citations*,31,One Year
TPDL,2898296047,Citations*,32,One Year
K-CAP,1166500626,Citations*,33,One Year
CHI,1163450153,Citations*,34,One Year
LREC,1164963593,Citations*,35,One Year
SIGMOD,1175089206,Citations*,36,One Year
EACL,1188587990,Citations*,37,One Year
IIS,1140961231,Citations*,38,One Year
ICDE,1163988186,Citations*,39,One Year
WI,1200067787,Citations*,40,One Year
UMAP,2754031194,Citations*,41,One Year
ASE,1166511975,Citations*,42,One Year
Big Data,2623113034,Citations*,43,One Year
ISMIR,1144674403,Citations*,44,One Year
ICPC,1159024683,Citations*,45,One Year
EDBT,1132593990,Citations*,46,One Year
SAC,2753968298,Citations*,47,One Year
IRCDL,1168262657,Citations*,48,One Year
SAC,2754781246,Citations*,49,One Year
GIScience,1160834642,Citations*,50,One Year
MTSR,1121935577,Citations*,51,One Year
ICADL,1204638610,Citations*,52,One Year
AJIM,2754050703,Citations*,53,One Year
SANER,2754456056,Citations*,54,One Year
INFOCOM,1143723981,Citations*,55,One Year
NDSS,1180274659,Citations*,56,One Year
DASFAA,1184699546,Citations*,57,One Year
DocEng,1187420394,Citations*,58,One Year
WIMS,2626590601,Citations*,59,One Year
Resource Track - ICSC,2898613818,Citations*,60,One Year
ICSM,1160919455,Citations*,61,One Year
PAKDD,1178327129,Citations*,62,One Year
WebSci,2626098776,Citations*,63,One Year
BigMM,2754030025,Citations*,64,One Year
FSE,1199533187,Citations*,65,One Year
DAS,1154283601,Citations*,66,One Year
ICCV,1164975091,Citations*,67,One Year
SMC,1170695740,Citations*,68,One Year
CBMI,1204255636,Citations*,69,One Year
KDD,1130985203,Citations*,70,One Year
WEBIST,1156749314,Citations*,71,One Year
I-SEMANTICS,2625637742,Citations*,72,One Year
ECML,2755314191,Citations*,73,One Year
ICMR,1159717609,Citations*,74,One Year
NAACL,1173951661,Citations*,75,One Year
DSS,1182309694,Citations*,76,One Year
CCECE,1199804331,Citations*,77,One Year
ICWSM,1124713781,Citations*,78,One Year
ADBIS,1137516283,Citations*,79,One Year
WASPAA,1200750167,Citations*,80,One Year
ITW,2622421702,Citations*,81,One Year
ECCV,1124077590,Citations*,82,One Year
ICME,1126322613,Citations*,83,One Year
WACV,1149655676,Citations*,84,One Year
Hypertext,2532863000,Citations*,85,One Year
ICIMIA,2755585131,Citations*,86,One Year
IJCNLP,1126706392,Citations*,87,One Year
CLOUD,1137657189,Citations*,88,One Year
ADCS,1147924868,Citations*,89,One Year
BIS,1148878455,Citations*,90,One Year
NSDI,1158363782,Citations*,91,One Year
CARS,1169721244,Citations*,92,One Year
ICDM,1183478919,Citations*,93,One Year
BIOINFORMATICS,1199066382,Citations*,94,One Year
ICWS,1202201565,Citations*,95,One Year
UNLPBEA,2759993800,Citations*,96,One Year
SODA,1130177464,Citations*,97,One Year
ICEIS,1151763769,Citations*,98,One Year
ISCC,1160213847,Citations*,99,One Year
ICIP,1163163559,Citations*,100,One Year
SIGIR,1140684652,Publications,1,One Year
CIKM,1194094125,Publications,2,One Year
ECIR,1180513217,Publications,3,One Year
WSDM,1120384002,Publications,4,One Year
CHIIR,2626279626,Publications,5,One Year
WI,1200067787,Publications,6,One Year
TREC,2534788800,Publications,7,One Year
ASIST,2537396833,Publications,8,One Year
JCDL,1169258207,Publications,9,One Year
WWW,1135342153,Publications,10,One Year
ESWC,1180003657,Publications,11,One Year
Big Data,2623113034,Publications,12,One Year
DocEng,1187420394,Publications,13,One Year
CLEF,1156586875,Publications,14,One Year
GIScience,1160834642,Publications,15,One Year
SIGMOD,1175089206,Publications,16,One Year
MTSR,1121935577,Publications,17,One Year
ACL,1188739475,Publications,18,One Year
ICDKE,1168542559,Publications,19,One Year
SOCO,1123077274,Publications,20,One Year
RecSys,1134284382,Publications,21,One Year
IRCDL,1168262657,Publications,22,One Year
ICADL,1204638610,Publications,23,One Year
ICTIR,2756630716,Publications,24,One Year
EMNLP,1192655580,Publications,25,One Year
ISWC,1155608529,Publications,26,One Year
Resource Track - ICSC,2898613818,Publications,27,One Year
K-CAP,1166500626,Publications,28,One Year
DASFAA,1184699546,Publications,29,One Year
EDBT,1132593990,Publications,30,One Year
WIMS,2626590601,Publications,31,One Year
SAC,2754781246,Publications,32,One Year
TPDL,2898296047,Publications,33,One Year
ICAI,2755283090,Publications,34,One Year
AIRS,1182750626,Publications,35,One Year
AAAI,1184914352,Publications,36,One Year
CLOUD,1137657189,Publications,37,One Year
CSSE,1151131449,Publications,38,One Year
ICSE,1174403976,Publications,39,One Year
MMM,1123621769,Publications,40,One Year
VLDB,1133523790,Publications,41,One Year
MM,1135237122,Publications,42,One Year
ICEIS,1151763769,Publications,43,One Year
ADCS,1147924868,Publications,44,One Year
ICDE,1163988186,Publications,45,One Year
LREC,1164963593,Publications,46,One Year
ICMR,1159717609,Publications,47,One Year
ICDM,1183478919,Publications,48,One Year
I-SEMANTICS,2625637742,Publications,49,One Year
ICDIM,1131237840,Publications,50,One Year
ICDAR,1150099070,Publications,51,One Year
IOT,1168863100,Publications,52,One Year
IUI,1170221290,Publications,53,One Year
ISTC,2755702938,Publications,54,One Year
LA-WEB,1178166968,Publications,55,One Year
UMAP,2754031194,Publications,56,One Year
WorldCIST,2754803852,Publications,57,One Year
ISM,1188521074,Publications,58,One Year
